"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigaline, Cork City Division",34
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigallen, Sligo/Leitrim Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigans, Donegal Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigtwohill, Cork North Division",17
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cashel, Tipperary Division",28
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebar, Mayo Division",108
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebellingham, Louth Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleblayney, Cavan/Monaghan Division",38
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebridge, Wexford Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlecomer, Kilkenny/Carlow Division",10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleconnell, Limerick Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castledermot, Kildare Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlefin, Donegal Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlegregory, Kerry Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleisland, Kerry Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlemaine, Kerry Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlepollard, Westmeath Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlerea, Roscommon/Longford Division",97
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castletownbere, Cork West Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castletownroche, Cork North Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cavan, Cavan/Monaghan Division",122
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Celbridge, Kildare Division",26
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Charlestown, Mayo Division",14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Charleville, Cork North Division",19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cill Ronain, Galway Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clane, Kildare Division",33
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clara, Laois/Offaly Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Claremorris, Mayo Division",23
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clifden, Galway Division",16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloch na Ron, Galway Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloghan, Co. Offaly, Laois/Offaly Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogheen, Co. Tipperary, Tipperary Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogher, Donegal Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogherhead, Louth Division",11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonakilty, Cork West Division",27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonark, Roscommon/Longford Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonaslee, Laois/Offaly Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonbologue, Laois/Offaly Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clondalkin, D.M.R. Western Division",120
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clones, Cavan/Monaghan Division",17
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonmany, Donegal Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonmel, Tipperary Division",94
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonroche, Wexford Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clontarf, D.M.R. Northern Division",51
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloughjordan, Tipperary Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloyne, Cork North Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coachford, Cork West Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cobh, Cork North Division",60
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Collon, Louth Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Collooney, Sligo/Leitrim Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cong, Mayo Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Convoy, Donegal Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coolaney, Sligo/Leitrim Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coolock, D.M.R. Northern Division",131
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cootehill, Cavan/Monaghan Division",22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Corofin Co. Clare, Clare Division",11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Corofin Co. Galway, Galway Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Courtown Harbour, Wexford Division",22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Craughwell, Galway Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Creggs, Galway Division",2
