Station,Division,name,lon,lat,"03 ,Attempts/threats to murder, assaults, harassments and related offences","04 ,Dangerous or negligent acts","05 ,Kidnapping and related offences","06 ,Robbery, extortion and hijacking offences","07 ,Burglary and related offences","08 ,Theft and related offences","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","11 ,Weapons and Explosives Offences","12 ,Damage to property and to the environment","13 ,Public order and other social code offences","15 ,Offences against government, justice procedures and organisation of crime"
Rhode, Laois/Offaly Division,Rhode,-7.194828,53.351091,4,1,0,0,14,16,1,1,0,4,4,1
Riverstown, Sligo/Leitrim Division,Riverstown,-8.399996,54.12957,1,5,0,0,3,11,4,2,0,3,3,0
Robertstown, Kildare Division,Robertstown,-6.816396000000001,53.27022,15,3,0,1,41,57,1,4,0,22,7,1
Rochfortbridge, Westmeath Division,Rochfortbridge,-7.301832000000001,53.41328299999999,7,11,0,1,17,24,1,4,0,8,9,1
Rockcorry, Cavan/Monaghan Division,Rockcorry,-7.0093679999999985,54.120158,1,2,0,0,4,11,0,0,2,2,0,0
Ronanstown, D.M.R. Western Division,Ronanstown,-6.406023,53.337899,120,44,0,52,257,889,48,409,49,362,178,88
Roosky, Roscommon/Longford Division,Rooskey,-7.922834,53.832866,2,1,0,0,5,8,0,1,0,4,0,0
Ros Muc, Galway Division,Ros Muck,-9.609865,53.386363,0,0,0,0,2,4,0,0,0,2,1,0
Roscommon, Roscommon/Longford Division,Roscommon,-8.193576,53.629842,51,37,0,0,35,102,19,21,2,37,73,12
Roscrea, Tipperary Division,Roscrea,-7.798782000000001,52.956163,13,18,0,0,50,63,9,45,10,16,55,5
Rosscarbery, Cork West Division,Rosscarberry,-9.031503,51.577571,3,3,0,0,7,14,1,1,0,3,6,0
Rosses Point, Sligo/Leitrim Division,Rosses Point,-8.546543,54.30536899999999,2,3,0,0,5,8,1,2,0,1,1,0
Rosslare Harbour, Wexford Division,Rosslare Harbour,-6.334101,52.248751,7,2,1,0,27,23,10,3,0,17,13,9
Rosslare Strand, Wexford Division,Rosslare Strand,-6.384849,52.269656,15,3,0,0,43,37,2,5,1,16,10,1
Roundwood, Wicklow Division,Roundstone,-9.921109,53.393576,14,0,0,0,16,89,2,9,2,37,12,0
Roxboro Road, Limerick Division,Roxboro Road,-8.61491,52.650763,149,64,2,23,199,959,45,189,43,467,327,228
Santry, D.M.R. Northern Division,Santry,-6.251635,53.38972800000001,97,57,0,32,345,957,73,93,17,297,162,14
Scariff, Clare Division,Scarriff,-8.534771000000001,52.90683000000001,19,11,0,1,18,44,2,9,1,7,9,0
Schull, Cork West Division,Schull,-9.541360000000001,51.528718,19,4,0,0,4,23,2,7,0,13,16,2
Scotstown, Cavan/Monaghan Division,Scotstown,-7.063623,54.280267,10,1,0,0,7,3,2,0,0,7,1,0
Shankill, D.M.R. Eastern Division,Shankill,-6.121017,53.233524,96,18,3,22,191,354,17,51,11,203,65,14
Shannon, Clare Division,Shannon,-8.877221000000002,52.70789499999999,40,27,0,9,29,106,10,54,3,65,95,9
Shercock, Cavan/Monaghan Division,Shercock,-6.900786,53.992199,1,1,0,0,4,9,0,0,1,1,3,1
Shevry, Tipperary Division,Shevry,-8.047130000000001,52.686935,0,5,0,0,2,2,0,1,0,0,0,0
Shillelagh, Wicklow Division,Shilleagh,-6.537507,52.754565,9,2,0,0,8,16,1,1,0,4,0,0
Shinrone, Laois/Offaly Division,Shinrone,-7.934131,52.98467900000001,3,0,0,0,10,8,0,0,1,5,0,0
Shrule, Mayo Division,Shrule,-9.087625,53.519846,2,1,0,0,8,6,0,0,0,6,1,0
Sixmilebridge, Clare Division,Sixmilebridge,-8.777944999999999,52.740101,2,5,1,1,18,35,1,8,1,6,8,0
Skerries, D.M.R. Northern Division,Skerries,-6.106963,53.579593,19,11,0,5,75,108,6,9,0,50,17,6
Skibbereen, Cork West Division,Skibbereen,-9.264135,51.548587,21,13,0,0,10,39,8,6,1,33,54,10
Skreen, Sligo/Leitrim Division,Skreen,-8.720407000000002,54.2446,0,0,0,0,0,5,0,0,0,2,2,2
Slane, Meath Division,Slane,-6.547504,53.709681,10,7,0,0,31,33,1,8,1,15,5,0
Sligo, Sligo/Leitrim Division,Sligo,-8.471264999999999,54.26925600000001,139,44,1,5,136,386,30,103,36,281,378,77
Smear, Roscommon/Longford Division,Smear,-7.601682,53.860567,2,4,0,0,6,8,1,0,0,4,0,0
Sneem, Kerry Division,Sneem,-9.90396,51.838914,5,1,0,0,4,8,0,1,0,2,3,0
Stoneyford, Kilkenny/Carlow Division,Stoneyford,-7.228582,52.536386,2,3,0,0,3,2,0,1,0,4,1,0
Store Street, D.M.R. North Central Division,Store Street,-6.252246,53.350455,305,64,2,131,351,5008,175,1336,109,513,1027,25
Stradbally Co Laois, Laois/Offaly Division,,-7.151598399999999,53.01767389999999,7,6,0,0,46,80,2,308,5,13,31,0
Strokestown, Roscommon/Longford Division,Strokestown,-8.103817,53.780762,2,3,0,1,4,14,3,1,1,7,3,1
Stuake, Cork West Division,Stuake,-8.760124000000001,51.990501,3,2,0,0,5,7,1,0,0,1,0,0
Summerhill, Meath Division,Summerhill,-6.7334380000000005,53.48196,1,1,0,0,13,30,2,3,1,6,11,4
Sundrive Road, D.M.R. Southern Division,Sundrive Road,-6.298731,53.330191000000006,97,29,1,32,287,379,30,156,29,256,125,18
Swanlinbar, Cavan/Monaghan Division,Swanlinbar,-7.703839,54.196111,0,1,0,0,5,7,0,1,0,2,0,0
Swinford, Mayo Division,Swinford,-8.952211,53.940637,15,5,4,0,12,36,2,4,2,17,23,0
Swords, D.M.R. Northern Division,Swords,-6.221116,53.456023,151,80,0,23,304,913,73,197,15,290,248,146
Taghmon, Wexford Division,Taghmon,-6.651727,52.322031,8,3,0,0,36,18,1,5,0,33,12,1
Tallaght, D.M.R. Southern Division,Tallaght,-6.367838,53.286801,322,125,2,187,938,1632,84,391,94,909,559,299
Tallow, Waterford Division,Tallow,-8.007298,52.09370300000001,3,2,0,0,6,8,2,0,0,0,4,0
Tarbert, Kerry Division,Tarbert,-9.375422,52.572734,3,2,0,0,7,9,0,3,0,3,5,0
Tarelton, Cork West Division,Tarelton,-8.992849,51.838531,3,3,0,0,3,16,0,0,0,1,3,0
Taughmaconnell, Roscommon/Longford Division,Taughmaconnell,-8.172962,53.393162,0,1,0,0,0,2,0,1,0,2,0,0
Templederry, Tipperary Division,Templederry,-8.07501,52.774143,3,0,0,0,2,0,0,0,0,1,0,0
Templemore, Tipperary Division,Templemore,-7.835087,52.796632,11,6,0,0,17,51,1,11,0,15,23,2
Templetuohy, Tipperary Division,Templetuohy,-7.720095,52.790294,1,0,0,0,6,6,0,0,0,2,3,0
Terenure, D.M.R. Southern Division,Terenure,-6.288029,53.309815,37,36,1,17,240,513,21,71,12,141,51,4
Thomastown, Kilkenny/Carlow Division,Thomastown,-7.140031,52.528949,15,7,0,2,15,37,4,13,3,14,21,3
Thurles, Tipperary Division,Thurles,-7.8119,52.675712,41,50,0,2,54,132,10,50,1,48,192,19
Timoleague, Cork West Division,Timoleague,-8.766241,51.642666,8,3,0,0,6,2,3,0,0,4,10,0
Tinahely, Wicklow Division,Tinahely,-6.469283,52.796724,6,0,0,1,18,12,1,0,2,10,3,0
Tipperary, Tipperary Division,Tipperary,-8.162901,52.476051,41,33,0,3,41,150,4,32,10,67,149,16
Togher, Cork City Division,Togher,-8.486227,51.876497,41,31,0,6,65,161,6,99,7,71,93,16
Toomevara, Tipperary Division,Toomevara,-8.036502,52.849684,1,2,0,0,8,9,0,1,1,4,1,0
Tralee, Kerry Division,Tralee,-9.708839,52.269488,155,125,0,5,116,542,33,201,23,146,558,66
Tramore, Waterford Division,Tramore,-7.1534119999999985,52.161475,50,25,1,1,42,104,4,45,4,69,108,9
Trim, Meath Division,Trim,-6.789303,53.553114,20,15,0,4,65,173,9,14,3,44,52,20
Tuam, Galway Division,Tuam,-8.855884,53.515662,74,28,0,0,62,111,28,44,5,54,103,20
Tubbercurry, Sligo/Leitrim Division,Tubbercurry,-8.734268,54.051574,17,8,0,1,31,40,1,7,2,21,18,6
Tulla, Clare Division,Tulla,-8.754769999999999,52.865385,8,6,0,0,12,25,2,2,0,4,9,0
Tullamore, Laois/Offaly Division,Tullamore,-7.4949059999999985,53.27605500000001,80,34,0,5,133,419,32,80,12,160,184,58
Tullow, Kilkenny/Carlow Division,Tullow,-6.733401,52.803828,17,9,1,2,40,57,1,9,1,24,32,5
Tulsk, Roscommon/Longford Division,Tulsk,-8.251828,53.777444,3,1,0,0,2,3,2,0,0,2,0,2
Urlingford, Kilkenny/Carlow Division,Urlingford,-7.58013,52.722103,10,2,0,0,21,28,0,1,1,10,12,0
Virginia, Cavan/Monaghan Division,Virginia,-7.081928,53.834442,18,21,0,0,20,40,2,8,4,18,31,12
Watercourse Road, Cork City Division,Watercourse Road,-8.474483,51.907175,199,46,0,35,91,474,24,199,25,327,261,23
Waterford, Waterford Division,Waterford,-7.115253999999998,52.260269,272,114,2,28,582,1327,54,255,45,506,557,103
Watergrasshill, Cork North Division,Watergrasshill,-8.342022,52.013443,4,7,0,0,5,14,4,9,2,6,6,0
Westport, Mayo Division,Westport,-9.519437,53.79906999999999,51,25,0,1,54,88,8,18,3,48,171,4
Wexford, Wexford Division,Wexford,-6.461997,52.335547,102,46,0,10,195,500,22,84,15,186,185,67
Whitegate, Cork North Division,Whitegate,-8.22781,51.82707,4,0,0,0,14,9,0,0,1,7,5,1
Wicklow, Wicklow Division,Wicklow,-6.042638,52.981435,72,23,0,3,101,254,13,74,8,96,130,25
Williamstown, Galway Division,Williamstown,-8.578412,53.677145,5,1,0,0,3,10,1,2,0,5,1,0
Woodford, Galway Division,Woodford,-8.400132000000001,53.047611,3,1,0,0,3,11,0,0,1,3,2,0
Youghal, Cork North Division,Youghal,-7.8427539999999984,51.948069,36,14,0,1,32,87,11,21,2,45,84,5
